Ticker,Company,Industry,Sector,Theme_Exposure,Directional_Exposure,Theme,Theme_Description,Meta_Theme,Mega_Theme,Research_Provider,Research_Note,Research_Note_Year,Research_Note_Month,Research_Note_Day,Key_Variable,KV_View,KV_View_Detail
AVG,Avangrid,Utilities,Energy,"We anticipate that utilities with gas businesses in regions that are also aggressively decarbonizing will be most impacted by a higher share of building electrification as natural gas is slowly phased out over time. Since each of these utilities (except for SJI) also have over- lapping electric businesses, we would anticipate that the ultimate impact on valuation could be mitigated given that they would be gaining additional customers using electricity. ",Negative,Electrification of Buildings,"Electrification replaces building processes that typically use fossil fuels with technology that use electricity. Electrification is most feasible in the residential and commercial sectors, where heat pump technology is steadily improving for space cooling and heating. A heat pump is a renewable heating technology: it needs electricity to run, but the heat is extracted from the ground, air or water, which is constantly renewed naturally. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Rate of electrification in buildings ,15%,By the year 2030
ED,Consolidated Edison,Utilities,Energy,"We anticipate that utilities with gas businesses in regions that are also aggressively decarbonizing will be most impacted by a higher share of building electrification as natural gas is slowly phased out over time. Since each of these utilities (except for SJI) also have over- lapping electric businesses, we would anticipate that the ultimate impact on valuation could be mitigated given that they would be gaining additional customers using electricity. ",Negative,Electrification of Buildings,"Electrification replaces building processes that typically use fossil fuels with technology that use electricity. Electrification is most feasible in the residential and commercial sectors, where heat pump technology is steadily improving for space cooling and heating. A heat pump is a renewable heating technology: it needs electricity to run, but the heat is extracted from the ground, air or water, which is constantly renewed naturally. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Rate of electrification in buildings ,15%,By the year 2030
ES,Eversource Energy,Utilities,Energy,"We anticipate that utilities with gas businesses in regions that are also aggressively decarbonizing will be most impacted by a higher share of building electrification as natural gas is slowly phased out over time. Since each of these utilities (except for SJI) also have over- lapping electric businesses, we would anticipate that the ultimate impact on valuation could be mitigated given that they would be gaining additional customers using electricity. ",Negative,Electrification of Buildings,"Electrification replaces building processes that typically use fossil fuels with technology that use electricity. Electrification is most feasible in the residential and commercial sectors, where heat pump technology is steadily improving for space cooling and heating. A heat pump is a renewable heating technology: it needs electricity to run, but the heat is extracted from the ground, air or water, which is constantly renewed naturally. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Rate of electrification in buildings ,15%,By the year 2030
PCG,PG&E Corporation,Utilities,Energy,"We anticipate that utilities with gas businesses in regions that are also aggressively decarbonizing will be most impacted by a higher share of building electrification as natural gas is slowly phased out over time. Since each of these utilities (except for SJI) also have over- lapping electric businesses, we would anticipate that the ultimate impact on valuation could be mitigated given that they would be gaining additional customers using electricity. ",Negative,Electrification of Buildings,"Electrification replaces building processes that typically use fossil fuels with technology that use electricity. Electrification is most feasible in the residential and commercial sectors, where heat pump technology is steadily improving for space cooling and heating. A heat pump is a renewable heating technology: it needs electricity to run, but the heat is extracted from the ground, air or water, which is constantly renewed naturally. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Rate of electrification in buildings ,15%,By the year 2030
PEG,PSEG,Utilities,Energy,"We anticipate that utilities with gas businesses in regions that are also aggressively decarbonizing will be most impacted by a higher share of building electrification as natural gas is slowly phased out over time. Since each of these utilities (except for SJI) also have over- lapping electric businesses, we would anticipate that the ultimate impact on valuation could be mitigated given that they would be gaining additional customers using electricity. ",Negative,Electrification of Buildings,"Electrification replaces building processes that typically use fossil fuels with technology that use electricity. Electrification is most feasible in the residential and commercial sectors, where heat pump technology is steadily improving for space cooling and heating. A heat pump is a renewable heating technology: it needs electricity to run, but the heat is extracted from the ground, air or water, which is constantly renewed naturally. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Rate of electrification in buildings ,15%,By the year 2030
SJI,South Jersey Industries,Utilities,Energy,"We anticipate that utilities with gas businesses in regions that are also aggressively decarbonizing will be most impacted by a higher share of building electrification as natural gas is slowly phased out over time. Since each of these utilities (except for SJI) also have over- lapping electric businesses, we would anticipate that the ultimate impact on valuation could be mitigated given that they would be gaining additional customers using electricity. ",Negative,Electrification of Buildings,"Electrification replaces building processes that typically use fossil fuels with technology that use electricity. Electrification is most feasible in the residential and commercial sectors, where heat pump technology is steadily improving for space cooling and heating. A heat pump is a renewable heating technology: it needs electricity to run, but the heat is extracted from the ground, air or water, which is constantly renewed naturally. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Rate of electrification in buildings ,15%,By the year 2030
SRE,Sempra,Utilities,Energy,"We anticipate that utilities with gas businesses in regions that are also aggressively decarbonizing will be most impacted by a higher share of building electrification as natural gas is slowly phased out over time. Since each of these utilities (except for SJI) also have over- lapping electric businesses, we would anticipate that the ultimate impact on valuation could be mitigated given that they would be gaining additional customers using electricity. ",Negative,Electrification of Buildings,"Electrification replaces building processes that typically use fossil fuels with technology that use electricity. Electrification is most feasible in the residential and commercial sectors, where heat pump technology is steadily improving for space cooling and heating. A heat pump is a renewable heating technology: it needs electricity to run, but the heat is extracted from the ground, air or water, which is constantly renewed naturally. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Rate of electrification in buildings ,15%,By the year 2030
EMR,Emerson Electric ,Electrical Equipment,Industrials,"Emerson Electric is a global manufacturing company that sells compressors, one of the main components in heat pumps where the main markets exist in Europe and China. In both places, Emerson Electric see heat pumps steadily gaining share over the next few decades. They see increased adoption primarily driven by government incentives, rather than economics",Positive,Electrification of Buildings,"Electrification replaces building processes that typically use fossil fuels with technology that use electricity. Electrification is most feasible in the residential and commercial sectors, where heat pump technology is steadily improving for space cooling and heating. A heat pump is a renewable heating technology: it needs electricity to run, but the heat is extracted from the ground, air or water, which is constantly renewed naturally. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Rate of electrification in buildings ,15%,By the year 2030
ALB,Albemarle ,Diversified Chemicals,Materials,Lithium miner,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
APTV,Aptiv ,Autos & Shared Mobility,Consumer,"High voltage power and signal, key supplier to Tesla",Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
ARCB,ArcBest Corp ,Industrials/Freight Transportation,Industrials,BEVs/FCEVs Trucking,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
AVNT,Avient ,Diversified Chemicals,Materials,Vehicle lightweighting,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
AXTA,Axalta ,Paints & Coatings,Materials,Vehicle lightweighting,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
BLNK,Blink Charging ,EV Charging,Industrials,Developer/owner of EV charging stations,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
CE,Celanese ,Diversified Chemicals,Materials,Vehicle lightweighting,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
CHPT,ChargePoint ,EV Charging,Industrials,Developer/owner of EV charging stations,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
CMI,Cummins ,Capital Goods,Industrials,"Short-term uplift form electrolyzer and fuel cell capabilities, with LT offsets from diesel share loss",Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
DD,DuPont ,Diversified Chemicals,Materials,Vehicle lightweighting,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
EMN,Eastman ,Diversified Chemicals,Materials,Vehicle lightweighting,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
EVGO,EVGo ,EV Charging,Consumer,Developer/owner of EV charging stations,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
FREY,Freyr ,Autos & Shared Mobility,Consumer,Renewable advanced battery production,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
FSR,Fisker ,Autos & Shared Mobility,Consumer,Design and engineering partner for BEVs,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
KNX,Knight-Swift Transportation ,Industrials/Freight Transportation,Industrials,BEVs/FCEVs Trucking,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
LYB,LyondellBasell ,Petrochemicals,Materials,Vehicle lightweighting,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
PLUG,Plug Power ,Clean Tech.,Energy,"Fuel cells, electrolyzers, and green hydrogen production",Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
PPG,PPG Industries ,Paints & Coatings,Materials,Vehicle lightweighting,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
QS,QuantumScape ,Autos & Shared Mobility,Consumer,Solid state batteries,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
SNDR,Schneider National ,Industrials/Freight Transportation,Industrials,BEVs/FCEVs Trucking,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
TPIC,TPI Composites ,Clean Tech.,Energy,Manufacturer of lightweight composite materials (chassis and other components),Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
TSLA,Tesla ,Autos & Shared Mobility,Consumer,"BEVs, autonomy, storage, solar, ecosystem.",Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
USX,US Xpress Enterprises Inc ,Industrials/Freight Transportation,Industrials,BEVs/FCEVs Trucking,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
VLTA,Volta ,EV Charging,Consumer,Developer/owner of EV charging stations,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
WERN,Werner Enterprises ,Industrials/Freight Transportation,Industrials,BEVs/FCEVs Trucking,Positive,Electrification of Transport,"Electrifying mobility is a long-duration theme with many stocks with favorable exposure. We see strong growth across the entire ecosystem associated with electrifying mobility sectors (vehicles, material handling, aerospace and shipping) driven by (i) growing con- sumer interest in clean energy and mitigating climate change, (ii) product innovation and a continued drop in costs, and (iii) state and federal support for electrification efforts. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,EV charging infrastructure capital investment ,$28bn,By the year 2030
QS,Quantumscape ,Autos & Shared Mobility,Consumer,Manufacturer of solid state batteries,Positive,Energy Storage,"A key ""supporting player"" to enable the growth of wind and solar.  Critical for short- and medium-duration shifting of renewable energy output to match customer demand",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital Investment on Energy Storage,$83bn,By the year 2030
QS,Quantumscape ,Autos & Shared Mobility,Consumer,Manufacturer of solid state batteries,Positive,Energy Storage,"A key ""supporting player"" to enable the growth of wind and solar.  Critical for short- and medium-duration shifting of renewable energy output to match customer demand",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Reduction in US Electricity Sector CO2 emissions,76%|baseline = 2005,By the year 2030
RUN,SunRun ,Clean Tech.,Energy,Largest US rooftop solar and storage developer,Positive,Energy Storage,"A key ""supporting player"" to enable the growth of wind and solar.  Critical for short- and medium-duration shifting of renewable energy output to match customer demand",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital Investment on Energy Storage,$83bn,By the year 2030
RUN,SunRun ,Clean Tech.,Energy,Largest US rooftop solar and storage developer,Positive,Energy Storage,"A key ""supporting player"" to enable the growth of wind and solar.  Critical for short- and medium-duration shifting of renewable energy output to match customer demand",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Reduction in US Electricity Sector CO2 emissions,76%|baseline = 2005,By the year 2030
SEDG,SolarEdge Technologies ,Clean Tech.,Energy,"Owner of Kokam, a battery manufacturer based in South Korea that focuses on the stationary battery market",Positive,Energy Storage,"A key ""supporting player"" to enable the growth of wind and solar.  Critical for short- and medium-duration shifting of renewable energy output to match customer demand",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital Investment on Energy Storage,$83bn,By the year 2030
SEDG,SolarEdge Technologies ,Clean Tech.,Energy,"Owner of Kokam, a battery manufacturer based in South Korea that focuses on the stationary battery market",Positive,Energy Storage,"A key ""supporting player"" to enable the growth of wind and solar.  Critical for short- and medium-duration shifting of renewable energy output to match customer demand",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Reduction in US Electricity Sector CO2 emissions,76%|baseline = 2005,By the year 2030
STEM,Stem,Clean Tech.,Energy,Rapidly growing player focused on software and project development,Positive,Energy Storage,"A key ""supporting player"" to enable the growth of wind and solar.  Critical for short- and medium-duration shifting of renewable energy output to match customer demand",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital Investment on Energy Storage,$83bn,By the year 2030
STEM,Stem,Clean Tech.,Energy,Rapidly growing player focused on software and project development,Positive,Energy Storage,"A key ""supporting player"" to enable the growth of wind and solar.  Critical for short- and medium-duration shifting of renewable energy output to match customer demand",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Reduction in US Electricity Sector CO2 emissions,76%|baseline = 2005,By the year 2030
APD,Air Products ,Industrial Gas,Materials,"NEOM green H2/Alberta blue H2 mega projects, H2 fueling tech",Positive,Green Hydrogen,"Green hydrogen is fuel obtained from electrolysis of water with renewable energy. Water electrolysis is the decomposition of water molecules (H2O) into oxygen and hydrogen gas (H2) as an electric current flows through the water in a device called an electrolyzer. If the electricity is produced by renewable energy sources, the resulting hydrogen is considered ""green hydrogen"". Uses: Potentially all of the current uses for gray and blue hydrogen, plus power production, clean mobility and clean logistics (i.e., forklifts used in warehouses).",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Captial investment in electrolyzers, $165bn,By the year 2030
BE,Bloom Energy ,Clean Tech.,Energy,It developed an electrolyzer and has also modified its fuel cells to be able to use green hydrogen as fuel,Positive,Green Hydrogen,"Green hydrogen is fuel obtained from electrolysis of water with renewable energy. Water electrolysis is the decomposition of water molecules (H2O) into oxygen and hydrogen gas (H2) as an electric current flows through the water in a device called an electrolyzer. If the electricity is produced by renewable energy sources, the resulting hydrogen is considered ""green hydrogen"". Uses: Potentially all of the current uses for gray and blue hydrogen, plus power production, clean mobility and clean logistics (i.e., forklifts used in warehouses).",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Captial investment in electrolyzers, $165bn,By the year 2030
BKR,Baker Hughes ,Oil Services,Energy,Various partnerships to drive adoption of BKR's strong compression and turbomachinery offering for hydrogen applications,Positive,Green Hydrogen,"Green hydrogen is fuel obtained from electrolysis of water with renewable energy. Water electrolysis is the decomposition of water molecules (H2O) into oxygen and hydrogen gas (H2) as an electric current flows through the water in a device called an electrolyzer. If the electricity is produced by renewable energy sources, the resulting hydrogen is considered ""green hydrogen"". Uses: Potentially all of the current uses for gray and blue hydrogen, plus power production, clean mobility and clean logistics (i.e., forklifts used in warehouses).",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Captial investment in electrolyzers, $165bn,By the year 2030
