,,1,2,3,4,5,6,7,
-,SCVL,SCVL US Equity,SHOE CARNIVAL,"375,583,296","930,236,000",-15.77,Consumer Discretionary,Retailing,
CVLT,CVLT,CVLT US Equity,COMMVAULT SYSTEM,"1,984,180,736","681,682,000",3.86,Information Technology,Software & Services,
-,CVNA,CVNA US Equity,CARVANA CO,"30,819,135,488","4,414,991,872",-8.02,Consumer Discretionary,Retailing,
-,CVS,CVS US Equity,CVS HEALTH CORP,"85,052,637,184","263,794,999,296",7.16,Health Care,Health Care Equipment & Services,
-,CW,CW US Equity,CURTISS-WRIGHT,"4,484,078,080","2,421,928,960",10.06,Industrials,Capital Goods,
-,RCKY,RCKY US Equity,ROCKY BRANDS INC,"171,686,080","254,426,000",5.52,Consumer Discretionary,Consumer Durables & Apparel,
-,UVE,UVE US Equity,UNIVERSAL INSURA,"643,427,136","957,022,000",10.86,Financials,Insurance,
-,ULBI,ULBI US Equity,ULTRALIFE CORP,"113,641,304","112,890,000",8.03,Industrials,Capital Goods,
-,NLS,NLS US Equity,NAUTILUS INC,"429,428,896","373,791,000",-6.22,Consumer Discretionary,Consumer Durables & Apparel,
-,WINA,WINA US Equity,WINMARK CORP,"624,008,384","68,553,000",53.90,Consumer Discretionary,Retailing,
-,CWH,CWH US Equity,CAMPING WORLD-A,"2,887,759,104","4,986,920,960",12.66,Consumer Discretionary,Retailing,
-,LGND,LGND US Equity,LIGAND PHARM,"1,796,893,312","126,392,000",17.14,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ETH,ETH US Equity,ETHAN ALLEN,"324,938,464","589,836,992",-13.59,Consumer Discretionary,Consumer Durables & Apparel,
-,CWST,CWST US Equity,CASELLA WASTE,"2,687,976,448","763,843,024",9.24,Industrials,Commercial & Professional Services,
-,CZR,CZR US Equity,CAESARS ENTERTAI,"5,976,577,024","1,854,844,016",-61.93,Consumer Discretionary,Consumer Services,
-,CECE,CECE US Equity,CECO ENVIRONMNTL,"314,474,720","330,335,000",5.85,Industrials,Commercial & Professional Services,
-,DAL,DAL US Equity,DELTA AIR LI,"18,555,252,736","34,058,999,552",-328.00,Industrials,Transportation,
-,DAN,DAN US Equity,DANA INC,"2,038,659,712","7,155,000,064",-10.39,Consumer Discretionary,Automobiles & Components,
-,DAR,DAR US Equity,DARLING INGREDIE,"5,357,676,032","3,402,992,000",12.52,Consumer Staples,"Food, Beverage & Tobacco",
-,VBIV,VBIV US Equity,VBI VACCINES INC,"782,991,104","1,820,000",-4425.00,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,DBX,DBX US Equity,DROPBOX INC-A,"8,118,417,920","1,796,600,000",2.74,Information Technology,Software & Services,
-,SIG,SIG US Equity,SIGNET JEWELERS,"798,969,792","5,557,499,904",-35.16,Consumer Discretionary,Retailing,
-,DCI,DCI US Equity,DONALDSON CO INC,"6,631,868,416","2,691,299,968",13.42,Industrials,Capital Goods,
-,NG,NG US Equity,NOVAGOLD RES,"2,788,397,056",0,,Materials,Materials,
-,NYMX,NYMX US Equity,NYMOX PHARMACEUT,"196,867,840","91,000",-52620.00,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SMED,SMED US Equity,SHARPS COMPLIANC,"138,530,720","50,752,000",-15.15,Health Care,Health Care Equipment & Services,
-,OPY,OPY US Equity,OPPENHEIMER HO-A,"320,401,088","1,039,392,976",8.88,Financials,Diversified Financials,
-,ANIP,ANIP US Equity,ANI PHARMACEUTIC,"389,525,248","197,547,000",-15.76,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,DD,DD US Equity,DUPONT DE NEMOUR,"42,818,838,528","20,679,000,064",1.97,Materials,Materials,
-,INO,INO US Equity,INOVIO PHARMACEU,"2,303,406,080","2,740,812",-12418.60,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,APT,APT US Equity,ALPHA PRO TECH,"223,927,680","66,601,000",30.91,Industrials,Capital Goods,
-,DDD,DDD US Equity,3D SYSTEMS CORP,"729,233,344","566,606,992",-30.23,Information Technology,Technology Hardware & Equipment,
DE,DE,DE US Equity,DEERE & CO,"60,165,844,992","36,815,999,488",13.73,Industrials,Capital Goods,
-,LFVN,LFVN US Equity,LIFEVANTAGE CORP,"191,653,472","229,717,000",5.41,Consumer Staples,Household & Personal Products,
-,DECK,DECK US Equity,DECKERS OUTDOOR,"6,189,078,016","2,139,018,976",-2.72,Consumer Discretionary,Consumer Durables & Apparel,
-,XOMA,XOMA US Equity,XOMA CORP,"199,538,576","10,526,000",-698.51,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,OLED,OLED US Equity,UNIVERSAL DISPLA,"8,868,995,072","369,489,000",-2.04,Information Technology,Semiconductors & Semiconductor Equipment,
-,DELL,DELL US Equity,DELL TECHN-C,"45,804,683,264","92,143,001,600",3.21,Information Technology,Technology Hardware & Equipment,
-,DFS,DFS US Equity,DISCOVER FINANCI,"16,696,888,320","13,712,999,936",-17.32,Financials,Diversified Financials,
-,WRLD,WRLD US Equity,WORLD ACCEPTANCE,"636,083,712","575,564,112",17.78,Financials,Diversified Financials,
-,VERU,VERU US Equity,VERU INC,"206,060,640","39,571,277",-3.01,Consumer Staples,Household & Personal Products,
-,DG,DG US Equity,DOLLAR GENERAL C,"49,546,407,936","29,579,236,864",10.26,Consumer Discretionary,Retailing,
DGX,DGX,DGX US Equity,QUEST DIAGNOSTIC,"16,270,764,032","7,531,000,064",15.49,Health Care,Health Care Equipment & Services,
-,DHI,DHI US Equity,DR HORTON INC,"25,917,444,096","18,949,600,000",14.43,Consumer Discretionary,Consumer Durables & Apparel,
-,WEYS,WEYS US Equity,WEYCO GROUP,"190,477,536","249,637,000",-78.17,Consumer Discretionary,Retailing,
DHR,DHR,DHR US Equity,DANAHER CORP,"146,081,464,320","19,546,200,064",15.94,Health Care,Health Care Equipment & Services,
-,WDFC,WDFC US Equity,WD-40 CO,"2,766,572,544","403,596,000",20.17,Consumer Staples,Household & Personal Products,
-,DIOD,DIOD US Equity,DIODES INC,"2,757,952,256","1,194,216,960",10.69,Information Technology,Semiconductors & Semiconductor Equipment,
-,DIS,DIS US Equity,WALT DISNEY CO,"238,152,876,032","69,745,999,872",0.43,Communication Services,Media & Entertainment,
-,ASUR,ASUR US Equity,ASURE SOFTWARE I,"104,772,472",,-12.90,Information Technology,Software & Services,
-,VSEC,VSEC US Equity,VSE CORP,"342,561,504","739,730,016",-12.99,Industrials,Commercial & Professional Services,
-,DISCA,DISCA US Equity,DISCOVERY INC -,"15,064,814,592","10,776,000,000",28.22,Communication Services,Media & Entertainment,
-,VOXX,VOXX US Equity,VOXX INTERNATION,"161,924,384","373,422,000",-10.93,Consumer Discretionary,Consumer Durables & Apparel,
-,VLGEA,VLGEA US Equity,VILLAGE SUPER -A,"352,830,912","1,721,482,016",3.32,Consumer Staples,Food & Staples Retailing,
-,VICR,VICR US Equity,VICOR CORP,"3,501,522,688","268,059,000",2.87,Industrials,Capital Goods,
-,DISCK,DISCK US Equity,DISCOVERY INC-C,"15,064,814,592","10,776,000,000",28.22,Communication Services,Media & Entertainment,
-,DISH,DISH US Equity,DISH NETWORK-A,"18,086,256,640","12,813,707,008",20.01,Communication Services,Media & Entertainment,
-,VALU,VALU US Equity,VALUE LINE INC,"255,804,784","40,299,000",13.34,Financials,Diversified Financials,
DKS,DKS,DKS US Equity,DICK'S SPORTING,"4,127,098,112","8,163,294,080",-13.96,Consumer Discretionary,Retailing,
-,UTMD,UTMD US Equity,UTAH MEDICAL PRO,"306,570,720","44,014,000",22.50,Health Care,Health Care Equipment & Services,
-,USPH,USPH US Equity,US PHYSICAL THER,"1,163,323,136","435,939,000",12.24,Health Care,Health Care Equipment & Services,
-,DLB,DLB US Equity,DOLBY LABORATO-A,"7,116,086,272","1,189,428,000",13.83,Information Technology,Technology Hardware & Equipment,
-,DLTR,DLTR US Equity,DOLLAR TREE INC,"23,535,824,896","24,088,899,584",5.82,Consumer Discretionary,Retailing,
-,DLX,DLX US Equity,DELUXE CORP,"1,298,023,936","1,912,492,000",5.92,Industrials,Commercial & Professional Services,
-,UFCS,UFCS US Equity,UNITED FIRE GROU,"700,624,256","1,067,037,024",-59.05,Financials,Insurance,
-,DNKN,DNKN US Equity,DUNKIN' BRANDS G,"5,862,052,352","1,302,318,976",28.40,Consumer Discretionary,Consumer Services,
-,TRNS,TRNS US Equity,TRANSCAT INC,"213,064,992","169,608,000",2.48,Industrials,Capital Goods,
-,DNOW,DNOW US Equity,NOW INC,"1,023,793,280","2,364,000,000",-7.84,Industrials,Capital Goods,
-,TISI,TISI US Equity,TEAM INC,"196,629,440","1,004,029,024",-2.31,Industrials,Commercial & Professional Services,
-,DOCU,DOCU US Equity,DOCUSIGN INC,"35,472,261,120","1,057,026,000",-14.09,Information Technology,Software & Services,
-,DOOR,DOOR US Equity,MASONITE INTERNA,"2,245,987,584","2,134,315,008",11.95,Industrials,Capital Goods,
-,DORM,DORM US Equity,DORMAN PRODUCTS,"2,737,553,664","984,275,008",7.56,Consumer Discretionary,Automobiles & Components,
-,CDMO,CDMO US Equity,AVID BIOSERVICES,"455,481,024","59,702,000",-38.46,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,DOV,DOV US Equity,DOVER CORP,"16,206,721,024","6,756,048,000",12.33,Industrials,Capital Goods,
-,DOW,DOW US Equity,DOW INC,"32,816,857,088","39,092,000,768",0.63,Materials,Materials,
-,STFC,STFC US Equity,STATE AUTO FINL,"768,914,432","1,351,900,000",9.87,Financials,Insurance,
-,DOX,DOX US Equity,AMDOCS LTD,"8,159,519,744","4,146,344,000",14.38,Information Technology,Software & Services,
-,STAA,STAA US Equity,STAAR SURGICAL,"2,232,146,176","148,319,000",-3.00,Health Care,Health Care Equipment & Services,
-,SPNS,SPNS US Equity,SAPIENS INTL,"1,657,783,936","352,955,000",13.33,Information Technology,Software & Services,
-,SHYF,SHYF US Equity,SHYFT GROUP INC/,"702,766,592","769,829,008",-1.40,Industrials,Capital Goods,
-,DPZ,DPZ US Equity,DOMINO'S PIZZA,"15,450,470,400","3,764,289,024",17.78,Consumer Discretionary,Consumer Services,
-,DRI,DRI US Equity,DARDEN RESTAURAN,"11,004,820,480","7,806,900,096",-46.62,Consumer Discretionary,Consumer Services,
-,DT,DT US Equity,DYNATRACE INC,"10,337,239,040","578,760,992",15.50,Information Technology,Software & Services,
-,DVA,DVA US Equity,DAVITA INC,"10,060,120,064","11,523,878,144",14.23,Health Care,Health Care Equipment & Services,
-,IIN,IIN US Equity,INTRICON CORP,"117,389,920","99,692,000",-10.80,Health Care,Health Care Equipment & Services,
-,DXC,DXC US Equity,DXC TECHNOLOGY C,"4,982,214,144","19,189,000,192",-5.11,Information Technology,Software & Services,
-,CRMT,CRMT US Equity,AMERICA'S CAR-MA,"676,563,264","652,992,000",-6.36,Consumer Discretionary,Retailing,
-,STC,STC US Equity,STEWART INFO SVC,"970,315,648","2,025,419,936",9.62,Financials,Insurance,
-,DXCM,DXCM US Equity,DEXCOM,"40,967,131,136","1,716,000,000",15.01,Health Care,Health Care Equipment & Services,
-,USLM,USLM US Equity,US LIME & MINERA,"553,219,520","157,511,000",17.32,Materials,Materials,
-,SGC,SGC US Equity,SUPERIOR GROUP O,"341,579,328","451,483,008",12.12,Consumer Discretionary,Consumer Durables & Apparel,
-,SENEA,SENEA US Equity,SENECA FOODS-A,"387,917,984","1,359,008,992",10.51,Consumer Staples,"Food, Beverage & Tobacco",
-,DY,DY US Equity,DYCOM INDS,"1,501,377,152","3,320,260,992",-3.80,Industrials,Capital Goods,
-,EA,EA US Equity,ELECTRONIC ARTS,"40,402,673,664","5,787,000,064",32.28,Communication Services,Media & Entertainment,
-,EAF,EAF US Equity,GRAFTECH INTERNA,"1,867,648,000","1,434,773,024",47.52,Industrials,Capital Goods,
EAT,EAT,EAT US Equity,BRINKER INTL,"1,552,795,392","3,078,499,968",-9.45,Consumer Discretionary,Consumer Services,
-,SCHL,SCHL US Equity,SCHOLASTIC CORP,"868,891,520","1,487,100,000",-16.27,Communication Services,Media & Entertainment,
-,EBAY,EBAY US Equity,EBAY INC,"38,836,404,224","10,708,999,936",28.66,Consumer Discretionary,Retailing,
-,SGA,SGA US Equity,SAGA COMM-CL A,"153,296,112","105,982,000",-51.34,Communication Services,Media & Entertainment,
-,EBS,EBS US Equity,EMERGENT BIOSOLU,"6,857,477,632","1,259,400,000",31.92,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ECL,ECL US Equity,ECOLAB INC,"56,703,102,976","13,908,600,320",7.15,Materials,Materials,
-,ECOL,ECOL US Equity,US ECOLOGY INC,"1,197,684,992","853,308,000",2.49,Industrials,Commercial & Professional Services,
-,ECPG,ECPG US Equity,ENCORE CAPITAL G,"1,386,115,072","1,418,843,968",45.08,Financials,Diversified Financials,
-,EEFT,EEFT US Equity,EURONET WORLDWID,"5,405,115,904","2,592,395,968",-19.19,Information Technology,Software & Services,
-,EFX,EFX US Equity,EQUIFAX INC,"20,266,391,552","3,722,200,000",16.97,Industrials,Commercial & Professional Services,
-,DX,DX US Equity,DYNEX CAPITAL,"353,588,640","146,138,000",75.77,Financials,Diversified Financials,
-,UEIC,UEIC US Equity,UNIVERSAL ELEC,"634,721,536","680,328,992",5.30,Consumer Discretionary,Consumer Durables & Apparel,
-,RGLD,RGLD US Equity,ROYAL GOLD INC,"8,511,749,632","498,818,992",37.16,Materials,Materials,
-,RGS,RGS US Equity,REGIS CORP,"325,604,960","857,776,000",-41.84,Consumer Discretionary,Consumer Services,
-,RGEN,RGEN US Equity,REPLIGEN CORP,"7,504,195,072","302,471,000",22.34,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,KRMD,KRMD US Equity,REPRO MEDSYSTEMS,"421,970,976","26,878,444",9.21,Health Care,Health Care Equipment & Services,
-,EHC,EHC US Equity,ENCOMPASS HEALTH,"6,482,881,536","4,602,099,968",9.24,Health Care,Health Care Equipment & Services,
-,REFR,REFR US Equity,RESEARCH FRONT,"92,201,296","1,376,618",-181.82,Information Technology,Technology Hardware & Equipment,
-,EHTH,EHTH US Equity,EHEALTH INC,"1,918,626,304","566,835,000",-7.05,Financials,Insurance,
EL,EL,EL US Equity,ESTEE LAUDER,"76,139,708,416","15,454,000,128",3.26,Consumer Staples,Household & Personal Products,
-,RAVN,RAVN US Equity,RAVEN INDUSTRIES,"863,615,616","370,848,000",4.55,Industrials,Capital Goods,
-,NXGN,NXGN US Equity,NEXTGEN HEALTHCA,"953,371,840","539,257,000",1.43,Health Care,Health Care Equipment & Services,
-,ELAN,ELAN US Equity,ELANCO ANIMAL HE,"11,796,219,904","2,802,299,968",-17.09,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ELY,ELY US Equity,CALLAWAY GOLF CO,"1,746,733,696","1,477,429,984",-59.75,Consumer Discretionary,Consumer Durables & Apparel,
-,EME,EME US Equity,EMCOR GROUP INC,"4,231,050,752","9,005,534,080",-6.09,Industrials,Capital Goods,
-,EMN,EMN US Equity,EASTMAN CHEMICAL,"9,959,034,880","8,694,999,808",2.81,Materials,Materials,
-,AGX,AGX US Equity,ARGAN INC,"701,118,592","249,601,000",-10.53,Industrials,Capital Goods,
-,PTSI,PTSI US Equity,PAM TRANSPORT,"198,691,168","474,625,000",-2.16,Industrials,Transportation,
-,PRGS,PRGS US Equity,PROGRESS SOFTWAR,"1,654,617,344","433,820,000",25.21,Information Technology,Software & Services,
-,POWL,POWL US Equity,POWELL INDS INC,"315,220,608","552,286,000",2.36,Industrials,Capital Goods,
EMR,EMR,EMR US Equity,EMERSON ELEC CO,"42,901,123,072","17,197,999,616",12.85,Industrials,Capital Goods,
-,ENPH,ENPH US Equity,ENPHASE ENERGY,"8,970,466,304","721,171,984",8.65,Information Technology,Semiconductors & Semiconductor Equipment,
-,ENR,ENR US Equity,ENERGIZER HOLDIN,"3,104,526,336","2,700,800,000",13.74,Consumer Staples,Household & Personal Products,
-,ENS,ENS US Equity,ENERSYS,"3,158,193,920","3,012,559,040",7.55,Industrials,Capital Goods,
-,ENSG,ENSG US Equity,ENSIGN GROUP INC,"3,027,826,944","2,335,009,984",9.48,Health Care,Health Care Equipment & Services,
-,ENTG,ENTG US Equity,ENTEGRIS INC,"9,580,232,704","1,681,877,024",21.12,Information Technology,Semiconductors & Semiconductor Equipment,
-,PKOH,PKOH US Equity,PARK OHIO HLDGS,"239,557,664","1,377,500,000",-9.15,Industrials,Capital Goods,
-,AGYS,AGYS US Equity,AGILYSYS INC,"574,404,736","152,175,000",-1.42,Information Technology,Software & Services,
-,PDLI,PDLI US Equity,PDL BIOPHARMA IN,"377,281,184","49,576,000",-264.11,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ENV,ENV US Equity,ENVESTNET INC,"4,585,717,248","957,868,000",1.70,Information Technology,Software & Services,
-,TPC,TPC US Equity,TUTOR PERINI COR,"651,903,360","4,894,226,048",4.52,Industrials,Capital Goods,
-,EPAC,EPAC US Equity,ENERPAC TOOL GRO,"1,292,803,456","540,263,000",-1.96,Industrials,Capital Goods,
-,EPAM,EPAM US Equity,EPAM SYSTEMS INC,"17,437,179,904","2,504,619,904",13.19,Information Technology,Software & Services,
-,EPC,EPC US Equity,EDGEWELL PERSONA,"1,671,965,440","1,988,900,000",8.99,Consumer Staples,Household & Personal Products,
-,EQH,EQH US Equity,EQUITABLE HOLDIN,"9,680,323,584","14,780,000,512",,Financials,Diversified Financials,
-,ODC,ODC US Equity,OIL DRI CORP,"282,503,104","288,500,000",7.47,Consumer Staples,Household & Personal Products,
-,OFIX,OFIX US Equity,ORTHOFIX MEDICAL,"663,900,544","412,951,000",-28.71,Health Care,Health Care Equipment & Services,
-,ERIE,ERIE US Equity,ERIE INDEMNITY-A,"11,299,840,000","2,509,238,016",13.88,Financials,Insurance,
-,ITI,ITI US Equity,ITERIS INC,"207,084,704","115,510,000",1.36,Information Technology,Technology Hardware & Equipment,
-,ESE,ESE US Equity,ESCO TECH INC,"2,392,084,736","761,542,992",13.04,Industrials,Capital Goods,
-,ESGR,ESGR US Equity,ENSTAR GROUP LTD,"4,132,698,368","1,989,708,000",68.22,Financials,Insurance,
-,ESI,ESI US Equity,ELEMENT SOLUTION,"2,797,874,688","1,759,000,000",10.21,Materials,Materials,
-,NSSC,NSSC US Equity,NAPCO SECURITY,"458,099,040","107,937,000",15.42,Information Technology,Technology Hardware & Equipment,
-,GPX,GPX US Equity,GP STRATEGIES,"161,638,160","528,829,000",-0.94,Industrials,Commercial & Professional Services,
-,NEOG,NEOG US Equity,NEOGEN CORP,"4,178,329,088","418,170,000",18.28,Health Care,Health Care Equipment & Services,
ETN,ETN,ETN US Equity,EATON CORP PLC,"41,030,254,592","19,197,000,192",4.20,Industrials,Capital Goods,
-,VXRT,VXRT US Equity,VAXART INC,"1,004,656,832","7,795,000",-23.91,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NATR,NATR US Equity,NATURE'S SUNSHNE,"216,959,696","363,431,000",7.47,Consumer Staples,Household & Personal Products,
-,ETSY,ETSY US Equity,ETSY INC,"14,563,935,232","1,124,737,024",27.79,Consumer Discretionary,Retailing,
-,MYE,MYE US Equity,MYERS INDS INC,"599,563,392","482,942,000",10.35,Materials,Materials,
-,EV,EV US Equity,EATON VANCE CORP,"4,457,352,704","1,723,440,000",26.80,Financials,Diversified Financials,
-,MGPI,MGPI US Equity,MGP INGREDIENTS,"620,887,744","374,790,000",12.25,Consumer Staples,"Food, Beverage & Tobacco",
-,MTSC,MTSC US Equity,MTS SYSTEMS CORP,"465,335,232","837,613,008",6.44,Information Technology,Technology Hardware & Equipment,
-,EVI,EVI US Equity,EVI INDUSTRIES I,"309,180,928","246,191,000",0.59,Industrials,Capital Goods,
-,EVH,EVH US Equity,EVOLENT HEALTH-A,"1,180,904,576","942,584,992",-95.32,Health Care,Health Care Equipment & Services,
-,EVR,EVR US Equity,EVERCORE INC,"2,638,813,952","2,019,660,032",17.10,Financials,Diversified Financials,
-,MCS,MCS US Equity,MARCUS CORP,"406,581,312","585,717,000",-668.88,Communication Services,Media & Entertainment,
-,EW,EW US Equity,EDWARDS LIFE,"48,856,375,296","4,321,800,000",-18.35,Health Care,Health Care Equipment & Services,
-,EXAS,EXAS US Equity,EXACT SCIENCES,"13,087,081,472","1,131,068,992",-24.92,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,MOD,MOD US Equity,MODINE MFG CO,"358,033,472","1,794,300,000",-0.92,Consumer Discretionary,Automobiles & Components,
-,EXEL,EXEL US Equity,EXELIXIS INC,"6,754,648,576","998,407,024",29.11,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,EXLS,EXLS US Equity,EXLSERVICE HOLDI,"2,314,757,632","976,726,992",4.43,Information Technology,Software & Services,
-,EXP,EXP US Equity,EAGLE MATERIALS,"3,506,308,864","1,508,236,992",31.55,Materials,Materials,
-,MLAB,MLAB US Equity,MESA LABS,"1,255,959,296","121,340,000",10.68,Health Care,Health Care Equipment & Services,
-,MITK,MITK US Equity,MITEK SYSTEMS,"453,551,200","95,690,000",5.64,Information Technology,Software & Services,
-,EXPD,EXPD US Equity,EXPEDITORS INTL,"14,443,840,512","8,602,292,096",9.60,Industrials,Transportation,
EXPE,EXPE,EXPE US Equity,EXPEDIA GROUP IN,"12,279,662,592","9,080,000,128",-150.00,Consumer Discretionary,Retailing,
-,EYE,EYE US Equity,NATIONAL VISION,"2,857,446,656","1,563,376,032",-16.00,Consumer Discretionary,Retailing,
-,MTW,MTW US Equity,MANITOWOC CO,"361,090,304","1,568,900,000",-0.49,Industrials,Capital Goods,
-,F,F US Equity,FORD MOTOR CO,"28,286,345,216","130,396,000,256",-14.24,Consumer Discretionary,Automobiles & Components,
-,PRA,PRA US Equity,PROASSURANCE COR,"812,649,664","909,781,984",-15.20,Financials,Insurance,
-,LYTS,LYTS US Equity,LSI INDUSTRIES,"176,540,480","323,610,000",3.71,Industrials,Capital Goods,
-,FAF,FAF US Equity,FIRST AMERICAN F,"5,759,960,576","6,421,532,032",14.84,Financials,Insurance,
FAST,FAST,FAST US Equity,FASTENAL CO,"27,614,371,840","5,532,000,000",20.94,Industrials,Capital Goods,
-,LNN,LNN US Equity,LINDSAY CORP,"1,167,445,760","448,172,000",12.86,Industrials,Capital Goods,
-,AXGN,AXGN US Equity,AXOGEN INC,"451,748,800","103,103,000",-37.32,Health Care,Health Care Equipment & Services,
-,LCUT,LCUT US Equity,LIFETIME BRANDS,"193,741,792","737,650,000",2.86,Consumer Discretionary,Consumer Durables & Apparel,
-,LAWS,LAWS US Equity,LAWSON PRODUCTS,"330,422,752","346,526,000",0.79,Industrials,Capital Goods,
-,LCI,LCI US Equity,LANNETT CO INC,"240,491,072","541,665,000",-1.45,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,FB,FB US Equity,FACEBOOK INC-A,"740,378,738,688","75,158,001,664",31.91,Communication Services,Media & Entertainment,
-,LAKE,LAKE US Equity,LAKELAND INDS,"160,004,080","128,707,000",27.14,Consumer Discretionary,Consumer Durables & Apparel,
-,VIVO,VIVO US Equity,MERIDIAN BIOSCI,"748,809,600","240,360,000",40.88,Health Care,Health Care Equipment & Services,
-,FBHS,FBHS US Equity,FORTUNE BRANDS H,"11,467,692,032","5,708,000,128",12.57,Industrials,Capital Goods,
-,KBAL,KBAL US Equity,KIMBALL INTL -B,"438,704,384","727,858,992",7.04,Industrials,Commercial & Professional Services,
-,FCFS,FCFS US Equity,FIRSTCASH INC,"2,592,103,168","1,830,056,960",10.42,Financials,Diversified Financials,
-,JOUT,JOUT US Equity,JOHNSON OUTDOO-A,"872,335,104","533,547,000",9.34,Consumer Discretionary,Consumer Durables & Apparel,
-,FCN,FCN US Equity,FTI CONSULTING,"4,413,338,112","2,407,769,024",10.79,Industrials,Commercial & Professional Services,
-,FCX,FCX US Equity,FREEPORT-MCMORAN,"20,287,494,144","12,916,000,256",10.51,Materials,Materials,
-,FDP,FDP US Equity,FRESH DEL MONTE,"1,170,745,344","4,305,700,032",3.03,Consumer Staples,"Food, Beverage & Tobacco",
-,FDS,FDS US Equity,FACTSET RESEARCH,"13,683,735,552","1,474,804,000",32.52,Financials,Diversified Financials,
-,FDX,FDX US Equity,FEDEX CORP,"52,913,000,448","69,216,999,424",2.74,Industrials,Transportation,
-,IVC,IVC US Equity,INVACARE CORP,"244,378,304","883,426,992",-1.14,Health Care,Health Care Equipment & Services,
-,ITIC,ITIC US Equity,INVESTORS TITLE,"253,393,840","192,472,000",-28.52,Financials,Insurance,
-,FELE,FELE US Equity,FRANKLIN ELEC CO,"2,812,088,064","1,243,558,000",11.01,Industrials,Capital Goods,
FEYE,FEYE,FEYE US Equity,FIREEYE INC,"3,373,798,144","915,622,000",-17.21,Information Technology,Software & Services,
-,AEGN,AEGN US Equity,AEGION CORP,"528,036,736","1,150,683,008",3.56,Industrials,Capital Goods,
-,INS,INS US Equity,INTELLIGENT SYS,"306,216,352","35,771,000",33.57,Information Technology,Software & Services,
-,IHC,IHC US Equity,INDEP HLDG CO,"534,959,488","396,446,000",5.16,Financials,Insurance,
-,IMMU,IMMU US Equity,IMMUNOMEDICS INC,"9,389,050,880","20,369,000",-264.08,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,IMKTA,IMKTA US Equity,INGLES MARKETS-A,"860,837,888","4,489,528,064",5.53,Consumer Staples,Food & Staples Retailing,
-,IMGN,IMGN US Equity,IMMUNOGEN INC,"673,732,544","86,457,000",-122.21,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
FFIV,FFIV,FFIV US Equity,F5 NETWORKS,"8,459,629,056","2,326,393,984",15.02,Information Technology,Technology Hardware & Equipment,
-,IIIN,IIIN US Equity,INSTEEL INDS,"377,702,816","447,790,000",5.98,Industrials,Capital Goods,
-,DIN,DIN US Equity,DINE BRANDS GLOB,"879,405,376","761,512,000",-118.17,Consumer Discretionary,Consumer Services,
-,TILE,TILE US Equity,INTERFACE INC,"481,555,264","1,235,506,976",6.70,Industrials,Commercial & Professional Services,
-,FHI,FHI US Equity,FEDERATED HERMES,"2,709,303,808","1,418,260,000",30.79,Financials,Diversified Financials,
-,FICO,FICO US Equity,FAIR ISAAC CORP,"12,519,037,952","1,225,550,016",26.41,Information Technology,Software & Services,
-,IDCC,IDCC US Equity,INTERDIGITAL INC,"1,984,520,448","355,392,000",30.54,Information Technology,Technology Hardware & Equipment,
FIS,FIS,FIS US Equity,FIDELITY NATIONA,"89,111,371,776","12,203,000,064",1.55,Information Technology,Software & Services,
-,HWKN,HWKN US Equity,HAWKINS INC,"632,207,168","536,034,008",11.13,Materials,Materials,
-,STRL,STRL US Equity,STERLING CONSTRU,"421,025,024","1,334,969,024",8.26,Industrials,Capital Goods,
-,HURC,HURC US Equity,HURCO COMPANIES,"209,161,584","199,276,000",-10.48,Industrials,Capital Goods,
FISV,FISV,FISV US Equity,FISERV INC,"65,605,607,424","14,406,999,808",4.76,Information Technology,Software & Services,
-,ICAD,ICAD US Equity,ICAD INC,"243,891,312","31,340,000",-20.41,Health Care,Health Care Equipment & Services,
-,FIT,FIT US Equity,FITBIT INC - A,"1,707,373,312","1,298,772,016",-34.91,Information Technology,Technology Hardware & Equipment,
-,FIVE,FIVE US Equity,FIVE BELOW,"6,023,316,480","1,682,867,008",-35.94,Consumer Discretionary,Retailing,
-,HNGR,HNGR US Equity,HANGER INC,"776,874,432","1,047,702,032",16.65,Health Care,Health Care Equipment & Services,
-,FIX,FIX US Equity,COMFORT SYSTEMS,"2,001,958,656","2,870,101,056",8.20,Industrials,Capital Goods,
