from_name,from_entity_type,to_name,to_entity_type,from_id,to_id
Biologics OEMs,RBICS_IG,Biopharmaceutical OEM,RBICS_IG,351525101015,3515251010
Commercial Bank and Credit Union Software,RBICS_IG,Finance Industry Software,RBICS_IG,303015101010,3030151010
Lithium Compounds Manufacturing,RBICS_IG,Other Specialty/Performance Chemicals Products,RBICS_IG,451020303015,4510203030
Asia/Pacific Rail Transportation,RBICS_IG,Rail Transportation,RBICS_IG,401510201010,4015102010
Other Leasing Services,RBICS_IG,Leasing Services,RBICS_IG,303010101525,3030101015
Multi-Size Trucking Road Transportation,RBICS_IG,Road Transportation,RBICS_IG,401510201520,4015102015
Pan-Americas Investment Banking/Corporate Finance,RBICS_IG,Americas Investment Banking and Corporate Finance,RBICS_IG,302010151015,3020101510
Title Commercial Insurance,RBICS_IG,Commercial Insurance,RBICS_IG,301510201060,3015102010
US Rockies Fossil Fuel Exploration/Production,RBICS_IG,Pan-US Fossil Fuel Exploration/Production,RBICS_IG,251015101525,2510151015
Mid-Continent Fossil Fuel Exploration/Production,RBICS_IG,US Southern Fossil Fuel Exploration/Production,RBICS_IG,251015102020,2510151020
Diverse Institutional/High-Net Advisory Finance,RBICS_IG,Institutional and High-Net Advisory Services,RBICS_IG,302010102510,3020101025
United States East South Central Commercial Banks,RBICS_IG,United States East and South Commercial Banks,RBICS_IG,301020101515,3010201015
Mortgage Origination Services,RBICS_IG,Residential Mortgage Banking and Services,RBICS_IG,301015102015,3010151020
"Coffee, Tea and Cocoa Production",RBICS_IG,Non-Alcoholic Beverage Production,RBICS_IG,501515102020,5015151020
Latin America Mixed Alternative Wholesale Power,RBICS_IG,Latin America Wholesale Power,RBICS_IG,651010402010,6510104020
Latin America Hydroelectric Wholesale Power,RBICS_IG,Latin America Wholesale Power,RBICS_IG,651010402045,6510104020
Latin America Wind Wholesale Power,RBICS_IG,Latin America Wholesale Power,RBICS_IG,651010402055,6510104020
Dry Bulk Deep Sea and Offshore Shipping,RBICS_IG,Water Transportation,RBICS_IG,401510101515,4015101015
Rare Earth Elements Ore Mining,RBICS_IG,Specialty Metal Ore Mining,RBICS_IG,451525102015,4515251020
Media Download and Streaming Digital Content Sites,RBICS_IG,Consumer Content Providers,RBICS_IG,552010351030,5520103510
Online Marketing and Advertising Support Services,RBICS_IG,Other Marketing and Advertising Services,RBICS_IG,101010101535,1010101015
Sales Force Automation (SFA) Software,RBICS_IG,Customer Relationship Management Software,RBICS_IG,552015152525,5520151525
Plastic Resins and Materials Manufacturing,RBICS_IG,"Fibers, Polymers and Resins Manufacturing",RBICS_IG,451020351020,4510203510
Synthetic Rubber Resins/Materials Manufacturing,RBICS_IG,"Fibers, Polymers and Resins Manufacturing",RBICS_IG,451020351025,4510203510
Industrial Construction Contractors,RBICS_IG,Specialty Contractors,RBICS_IG,401525102015,4015251020
Satellite Systems Manufacturing,RBICS_IG,Other Aerospace Equipment Manufacturing,RBICS_IG,401010101510,4010101015
Energy Industry Software,RBICS_IG,Other Oil and Gas Support Activities,RBICS_IG,251020205010,2510202050
Heavy-Duty Industrial Batteries Manufacturing,RBICS_IG,Other Industrial Electrical Products,RBICS_IG,401015101535,4010151015
Radiology Devices,RBICS_IG,Other Specialized Medical Devices,RBICS_IG,352020151030,3520201510
Dental Devices,RBICS_IG,Other Specialized Medical Devices,RBICS_IG,352020151015,3520201510
Other Orthopedics Devices,RBICS_IG,Orthopedics Medical Devices,RBICS_IG,352015101515,3520151015
General Amusement and Recreation Centers,RBICS_IG,Amusement and Recreation Centers,RBICS_IG,151010151020,1510101510
Financial and Compliance ERP Software,RBICS_IG,Enterprise Resource Planning Software,RBICS_IG,552015153020,5520151530
Mobile Platform Applications Software,RBICS_IG,Handheld and Smart Phone Software,RBICS_IG,552015251510,5520152515
Battery Charging Equipment Manufacturing,RBICS_IG,Other Industrial Electrical Products,RBICS_IG,401015101550,4010151015
Space and Missile Equipment Manufacturing,RBICS_IG,Other Aerospace Equipment Manufacturing,RBICS_IG,401010101515,4010101015
Electronic Payment Processing,RBICS_IG,Electronic Transaction Processing/Clearinghouses,RBICS_IG,303010153015,3030101530
"Drug Lead Discovery, Validation and Optimization",RBICS_IG,Drug Discovery Services,RBICS_IG,351520201510,3515202015
Customer Contact Centers,RBICS_IG,Business Process Outsourcing Services,RBICS_IG,101015151010,1010151510
Payroll Services,RBICS_IG,Administrative Employment Services,RBICS_IG,101015101035,1010151010
Other Business Support Services,RBICS_IG,Other Business Administrative Services,RBICS_IG,101015103015,1010151030
Other Marketing Specialists,RBICS_IG,Marketing Specialists,RBICS_IG,101010101015,1010101010
Commercial and Public Service Vehicles Makers,RBICS_IG,Commercial and Public Service Vehicles Production,RBICS_IG,401025101510,4010251015
Heavy Duty Trucks and Trailers Makers,RBICS_IG,Heavy Duty Trucks and Trailers Manufacturing,RBICS_IG,401025102010,4010251020
Other Chemical Products Distributors,RBICS_IG,Chemical and Allied Products Distributors,RBICS_IG,401520151015,4015201510
Animal Feed Manufacturing,RBICS_IG,Other Agricultural Support Activity Providers,RBICS_IG,501510251010,5015102510
Other Asia/Pacific Biomass Wholesale Power,RBICS_IG,Other Asia/Pacific Wholesale Power,RBICS_IG,651010452030,6510104520
Solid Waste Recycling Equipment Manufacturing,RBICS_IG,Industry-Specific Factory Automation Equipment,RBICS_IG,401020151540,4010201515
Construction and Mining Machinery Distributors,RBICS_IG,Industrial Machinery and Supplies Distributors,RBICS_IG,401520101515,4015201015
Industrial Machinery and Equipment Distributors,RBICS_IG,Industrial Machinery and Supplies Distributors,RBICS_IG,401520101530,4015201015
International Full-Service Restaurants and Bars,RBICS_IG,Full-Service Restaurants and Bars,RBICS_IG,151010251015,1510102510
Diversified Personal Services,RBICS_IG,Other Personal Services,RBICS_IG,502510151520,5025101515
Building Construction,RBICS_IG,Infrastructure Construction,RBICS_IG,401525101010,4015251010
Transportation Construction,RBICS_IG,Infrastructure Construction,RBICS_IG,401525101035,4015251010
Other Asia/Pacific Mixed Alt. Wholesale Power,RBICS_IG,Other Asia/Pacific Wholesale Power,RBICS_IG,651010452010,6510104520
Road Transportation Infrastructure and Support,RBICS_IG,Road Transportation,RBICS_IG,401510201530,4015102015
Pulp Mills,RBICS_IG,Pulp and Paper Mills,RBICS_IG,452010202020,4520102020
Diverse Business Process Outsourcing Services,RBICS_IG,Business Process Outsourcing Services,RBICS_IG,101015151015,1010151510
Internet Accessories Retail,RBICS_IG,General Accessories Retail,RBICS_IG,202510101015,2025101010
Real Estate Fund Managers,RBICS_IG,Alternative Investment Managers,RBICS_IG,302010101035,3020101010
Wineries,RBICS_IG,Alcoholic Beverage Production,RBICS_IG,501515101030,5015151010
Distilleries,RBICS_IG,Alcoholic Beverage Production,RBICS_IG,501515101015,5015151010
Diverse Alternative Investment Managers,RBICS_IG,Alternative Investment Managers,RBICS_IG,302010101015,3020101010
Fitness and Recreational Sports Centers,RBICS_IG,Amusement and Recreation Centers,RBICS_IG,151010151015,1510101510
Magazine Publishing,RBICS_IG,Publishing,RBICS_IG,151510202020,1515102020
Internet Apparel Retail,RBICS_IG,Other Apparel Retail,RBICS_IG,202510201530,2025102015
"Snack, Coffee and Juice Shops",RBICS_IG,Limited-Service and Fast Food Restaurants,RBICS_IG,151010251545,1510102515
Healthcare Operations Support Software,RBICS_IG,Healthcare and Pharma Industry Software,RBICS_IG,351510151520,3515101515
Music,RBICS_IG,Other Entertainment and Programming Providers,RBICS_IG,151510151035,1515101510
Silver Ore Mining,RBICS_IG,Other Precious Metal Ore Mining,RBICS_IG,451525202520,4515252025
Platinum and Palladium Metals Ore Mining,RBICS_IG,Other Precious Metal Ore Mining,RBICS_IG,451525202515,4515252025
Cobalt Ore Mining,RBICS_IG,Non-Ferrous Metal Ore Mining,RBICS_IG,451525101035,4515251010
Nickel Ore Mining,RBICS_IG,Non-Ferrous Metal Ore Mining,RBICS_IG,451525101025,4515251010
Coal and Metals Distribution,RBICS_IG,Other Materials Distributors,RBICS_IG,401520151510,4015201515
Other Non-Ferrous Metals Ore Mining,RBICS_IG,Non-Ferrous Metal Ore Mining,RBICS_IG,451525101030,4515251010
Copper Ore Mining,RBICS_IG,Non-Ferrous Metal Ore Mining,RBICS_IG,451525101015,4515251010
South Africa Gold Ore Mining,RBICS_IG,Other Gold Mining,RBICS_IG,451525202030,4515252020
Salons and Spa Services,RBICS_IG,Other Personal Services,RBICS_IG,502510151530,5025101515
Middle Atlantic US Savings Institutions,RBICS_IG,United States East Savings Institutions,RBICS_IG,301020151010,3010201510
Mortgage Loan Servicing,RBICS_IG,Other Mortgage Banking Services,RBICS_IG,301015101515,3010151015
Asphalt Manufacturing,RBICS_IG,"Asphalt, Cement and Concrete Products",RBICS_IG,451535201010,4515352010
Investment Management/Brokerage Software,RBICS_IG,Finance Industry Software,RBICS_IG,303015101020,3030151010
Marketing CRM Software,RBICS_IG,Customer Relationship Management Software,RBICS_IG,552015152520,5520151525
Powertrain Manufacturing,RBICS_IG,Consumer Vehicle Powertrain and Chassis Makers,RBICS_IG,202010101520,2020101015
Investment Companies,RBICS_IG,Investment Company,RBICS_IG,302010203510,3020102035
Specialized Clinical Laboratories,RBICS_IG,Clinical Laboratory Patient Diagnostics,RBICS_IG,351515151015,3515151510
Passenger Car Rental,RBICS_IG,Automotive Equipment Rental,RBICS_IG,201510201015,2015102010
Used Car Dealers,RBICS_IG,Automobile Dealers,RBICS_IG,201510151020,2015101510
Automotive Parts and Accessories Stores,RBICS_IG,"Automotive Parts, Accessories and Tires Sales",RBICS_IG,201510201510,2015102015
All Apparel Retail,RBICS_IG,Other Apparel Retail,RBICS_IG,202510201510,2025102015
Viral Biopharmaceuticals,RBICS_IG,Viral Infectious Disease Biopharmaceuticals,RBICS_IG,351010102010,3510101020
Electric Vehicle Batteries Manufacturing,RBICS_IG,Other Industrial Electrical Products,RBICS_IG,401015101545,4010151015
3D Modeling/Rapid Prototyping Automation Providers,RBICS_IG,Industry-Specific Factory Automation Equipment,RBICS_IG,401020151510,4010201515
Computer Aided Design (CAD) Software,RBICS_IG,Computer Aided Design Software,RBICS_IG,552015101010,5520151010
Alternative Energy Car Manufacturers,RBICS_IG,Car Manufacturers,RBICS_IG,202010151020,2020101510
"Mixed Fruit, Nut and Vegetable Farming",RBICS_IG,"Fruit, Nut and Vegetable Farming",RBICS_IG,501510152015,5015101520
Vegetable Farming,RBICS_IG,"Fruit, Nut and Vegetable Farming",RBICS_IG,501510152030,5015101520
Non-Citrus Fruit Farming,RBICS_IG,"Fruit, Nut and Vegetable Farming",RBICS_IG,501510152020,5015101520
Industrial Robots and Robotic Assembly Line Makers,RBICS_IG,Industrial Robots and Material Handler Equipment,RBICS_IG,401020151010,4010201510
Handheld and Smart Phone Games Software,RBICS_IG,Handheld/Smart Phone Games Software,RBICS_IG,552015201510,5520152015
"Juices, Soft Drinks and Energy Drinks Production",RBICS_IG,Non-Alcoholic Beverage Production,RBICS_IG,501515102030,5015151020
Soft Drink Manufacturing,RBICS_IG,Non-Alcoholic Beverage Production,RBICS_IG,501515102040,5015151020
Money Transfer Services,RBICS_IG,Electronic Transaction Processing/Clearinghouses,RBICS_IG,303010153025,3030101530
Shipping Infrastructure and Services (Ports),RBICS_IG,Water Transportation,RBICS_IG,401510101535,4015101015
Veterinary Diagnostics,RBICS_IG,Veterinary Products,RBICS_IG,351520301010,3515203010
Veterinary Product Distributors,RBICS_IG,Veterinary Services,RBICS_IG,351520301510,3515203015
Veterinary Pharmaceuticals,RBICS_IG,Veterinary Products,RBICS_IG,351520301015,3515203010
Closed Circuit Television (CCTV) Systems/Products,RBICS_IG,Building/Physical Electronic Security Equipment,RBICS_IG,551510151020,5515101510
Other Africa Gold Ore Mining,RBICS_IG,Other Gold Mining,RBICS_IG,451525202020,4515252020
Multiple Precious Metals Ore Mining,RBICS_IG,Other Precious Metal Ore Mining,RBICS_IG,451525202510,4515252025
Zinc Ore Mining,RBICS_IG,Specialty Metal Ore Mining,RBICS_IG,451525102020,4515251020
Internet Building Materials / Garden Supply Retail,RBICS_IG,Other Building Materials and Garden Supply Stores,RBICS_IG,202520101520,2025201015
Asia/Pacific Supermarkets,RBICS_IG,Supermarkets,RBICS_IG,501010202010,5010102020
Women's Wear Stores,RBICS_IG,Other Apparel Retail,RBICS_IG,202510201525,2025102015
Miscellaneous Automotive Services,RBICS_IG,Other Automotive Services,RBICS_IG,201510102015,2015101020
Private Equity and Venture Capital Fund Managers,RBICS_IG,Alternative Investment Managers,RBICS_IG,302010101030,3020101010
Other Network Software,RBICS_IG,Network Infrastructure Software,RBICS_IG,552015353025,5520153530
US Investment Banking and Corporate Finance,RBICS_IG,Americas Investment Banking and Corporate Finance,RBICS_IG,302010151020,3020101510
Real Estate Classifieds and Directories Sites,RBICS_IG,Information and News Content Providers and Sites,RBICS_IG,552010101040,5520101010
Diet and Weight Loss Centers,RBICS_IG,Other Personal Services,RBICS_IG,502510151510,5025101515
General Professional Content Providers and Sites,RBICS_IG,Professional Content Providers,RBICS_IG,552010301020,5520103010
Diversified Enterprise Resource Planning Software,RBICS_IG,Enterprise Resource Planning Software,RBICS_IG,552015153015,5520151530
"Process Plants, Utilities and Energy Construction",RBICS_IG,Infrastructure Construction,RBICS_IG,401525101025,4015251010
Protective and Occupational Apparel Production,RBICS_IG,Apparel Production,RBICS_IG,201010151555,2010101515
Auto Interior Comfort/Safety/Electronics Products,RBICS_IG,Automobile Comfort/Safety/Electronics Parts Makers,RBICS_IG,202010101015,2020101010
Professional Advancement Education,RBICS_IG,Post-Secondary Educational Services,RBICS_IG,502510101520,5025101015
Human Resources ERP Software,RBICS_IG,Enterprise Resource Planning Software,RBICS_IG,552015153025,5520151530
Respiratory Devices,RBICS_IG,System-Specific Specialized Medical Devices,RBICS_IG,352020151540,3520201515
Educational Support Services,RBICS_IG,Other Educational Services,RBICS_IG,502510101010,5025101010
Lithium Ore Mining,RBICS_IG,Non-Ferrous Metal Ore Mining,RBICS_IG,451525101040,4515251010
Customer Service Software,RBICS_IG,Customer Relationship Management Software,RBICS_IG,552015152510,5520151525
Diversified Bioanalytical Instruments,RBICS_IG,Bioanalytical Instruments,RBICS_IG,351520251015,3515202510
Windows and Doors Manufacturing,RBICS_IG,Architectural Component Manufacturing,RBICS_IG,451535101035,4515351010
Primary Patient Care,RBICS_IG,Primary Care,RBICS_IG,351515302010,3515153020
General Surgical Devices,RBICS_IG,Surgical Devices,RBICS_IG,352015102010,3520151020
Government and Public Service Industry Software,RBICS_IG,Government and Not-For-Profit Industry Software,RBICS_IG,101015102010,1010151020
US Natural Gas Pipeline and Storage,RBICS_IG,US and Canada Natural Gas Pipeline and Storage,RBICS_IG,251515101515,2515151015
Mixed Type Agrochemicals Manufacturing,RBICS_IG,Other Agrochemicals Manufacturing,RBICS_IG,451020201515,4510202015
Dyes and Pigments Manufacturing,RBICS_IG,Other Chemical Additives Manufacturing,RBICS_IG,451020102010,4510201020
Patent/Copyright/License Consulting Services,RBICS_IG,Other Consulting and Business Process Outsourcing,RBICS_IG,101015152040,1010151520
United States Wireline Data Services,RBICS_IG,United States Wireline Services,RBICS_IG,601015153035,6010151530
United States Wireline Business Data Services,RBICS_IG,United States Wireline Services,RBICS_IG,601015153030,6010151530
Multi-Type United States Wireline Services,RBICS_IG,United States Wireline Services,RBICS_IG,601015153010,6010151530
Other United States Wireline Voice Services,RBICS_IG,United States Wireline Services,RBICS_IG,601015153015,6010151530
Offshore Oil and Gas Well Drilling,RBICS_IG,Oil and Gas Well Drilling,RBICS_IG,251020151510,2510201515
Europe Fossil Fuel Wholesale Power,RBICS_IG,Europe Wholesale Power,RBICS_IG,651010501020,6510105010
"Events, Tickets and Mixed-Type Recreation",RBICS_IG,"Other Arts, Entertainment and Recreation Providers",RBICS_IG,151010152010,1510101520
Aerostructures and Composite Parts Makers,RBICS_IG,Aviation Equipment,RBICS_IG,401010101010,4010101010
Technology Equipment Support and Installation,RBICS_IG,Other Support Services,RBICS_IG,101020101520,1010201015
Drug Target Discovery and Validation,RBICS_IG,Drug Discovery Services,RBICS_IG,351520201515,3515202015
Dairy Alternative Products Manufacturing,RBICS_IG,Dairy and Dairy Alternative Production,RBICS_IG,501515151510,5015151515
Enterprise Security Management Software,RBICS_IG,Other Enterprise Management Software,RBICS_IG,552015154010,5520151540
Plastic and Reconstructive Surgery Devices,RBICS_IG,Other Specialized Medical Devices,RBICS_IG,352020151025,3520201510
Network Security Access Policy Software,RBICS_IG,Network Infrastructure Software,RBICS_IG,552015353015,5520153530
Bioanalytical Consumables,RBICS_IG,Bioanalytical Instruments,RBICS_IG,351520251010,3515202510
Diversified Healthcare Business Management,RBICS_IG,Healthcare Business Management Services,RBICS_IG,351510151010,3515101510
Motor Vehicle Supplies and Parts Distributors,RBICS_IG,"Automotive Parts, Accessories and Tires Sales",RBICS_IG,201510201520,2015102015
"Truck, Trailer and Recreational Vehicle Rental",RBICS_IG,Automotive Equipment Rental,RBICS_IG,201510201020,2015102010
General Commercial Finance,RBICS_IG,Other Commercial Finance,RBICS_IG,303010102010,3030101020
Aircraft and Engine Leasing Services,RBICS_IG,Leasing Services,RBICS_IG,303010101510,3030101015
Marine Containers and Intermodal Leasing Services,RBICS_IG,Leasing Services,RBICS_IG,303010101520,3030101015
General Clinical Laboratories,RBICS_IG,Clinical Laboratory Patient Diagnostics,RBICS_IG,351515151010,3515151510
Neurology Devices,RBICS_IG,System-Specific Specialized Medical Devices,RBICS_IG,352020151520,3520201515
United States Northeast Commercial Banks,RBICS_IG,United States East and South Commercial Banks,RBICS_IG,301020101520,3010201015
Colleges,RBICS_IG,Post-Secondary Educational Services,RBICS_IG,502510101510,5025101015
International Electricity Generator Utilities,RBICS_IG,International Electric Utilities,RBICS_IG,651010101020,6510101010
Vacation Ownership Operators,RBICS_IG,"Hotels, Motels and Resorts",RBICS_IG,151010102530,1510101025
Autonomous Control Truck Production,RBICS_IG,Heavy Duty Trucks and Trailers Manufacturing,RBICS_IG,401025102015,4010251020
Latin America Solar Wholesale Power,RBICS_IG,Latin America Wholesale Power,RBICS_IG,651010402050,6510104020
Mixed Heavy-Duty and High-End Batteries Makers,RBICS_IG,Other Industrial Electrical Products,RBICS_IG,401015101520,4010151015
Immunoassays Clinical Diagnostics Devices,RBICS_IG,Other Clinical Diagnostic Devices,RBICS_IG,352010101515,3520101015
IC-Level Intellectual Property Software Libraries,RBICS_IG,Electronic Design Automation Software,RBICS_IG,552015101515,5520151015
Other Supplemental Health Insurance,RBICS_IG,Supplemental Health Insurance,RBICS_IG,301510151515,3015101515
Diversified Commercial Insurance,RBICS_IG,Commercial Insurance,RBICS_IG,301510201025,3015102010
Middle East and Africa Biomass Wholesale Power,RBICS_IG,Middle East and Africa Wholesale Power,RBICS_IG,651010501530,6510105015
Intimates and Sleepwear Production,RBICS_IG,Apparel Production,RBICS_IG,201010151535,2010101515
Child Birth and Contraception Biopharmaceuticals,RBICS_IG,Obstetrics Biopharmaceuticals,RBICS_IG,351020501510,3510205015
Type 2 Diabetes Biopharmaceuticals,RBICS_IG,Diabetes Biopharmaceuticals,RBICS_IG,351020251015,3510202510
Other Gynecology Biopharmaceuticals,RBICS_IG,Gynecology Biopharmaceuticals,RBICS_IG,351020501010,3510205010
Diversified Property and Casualty Reinsurance,RBICS_IG,Property and Casualty Reinsurance,RBICS_IG,301510252015,3015102520
Vehicle Autonomous Control Electronics Makers,RBICS_IG,Automobile Comfort/Safety/Electronics Parts Makers,RBICS_IG,202010101025,2020101010
United States Gold Ore Mining,RBICS_IG,Americas Gold Mining,RBICS_IG,451525201030,4515252010
Permian Basin Fossil Fuel Exploration/Production,RBICS_IG,US Southern Fossil Fuel Exploration/Production,RBICS_IG,251015102030,2510151020
North Sea Fossil Fuel Exploration/Production,RBICS_IG,Europe Fossil Fuel Exploration/Production,RBICS_IG,251015201510,2510152015
Antibiotics,RBICS_IG,Bacterial Infectious Disease Biopharmaceuticals,RBICS_IG,351010101020,3510101010
Architectural Glass Manufacturing,RBICS_IG,Architectural Component Manufacturing,RBICS_IG,451535101010,4515351010
Primary and Secondary Education,RBICS_IG,Other Educational Services,RBICS_IG,502510101020,5025101010
Other Post-Secondary Education,RBICS_IG,Post-Secondary Educational Services,RBICS_IG,502510101515,5025101015
Other Asia Fossil Fuel Exploration/Production,RBICS_IG,Asia/Pacific Fossil Fuel Exploration/Production,RBICS_IG,251015201020,2510152010
Australia Fossil Fuel Exploration/Production,RBICS_IG,Asia/Pacific Fossil Fuel Exploration/Production,RBICS_IG,251015201010,2510152010
Latin America Gold Ore Mining,RBICS_IG,Americas Gold Mining,RBICS_IG,451525201015,4515252010
Cryptocurrency Trading and Exchanges,RBICS_IG,Electronic Transaction Processing/Clearinghouses,RBICS_IG,303010153030,3030101530
Internet Motor Vehicle Sales,RBICS_IG,Other Motor Vehicle Sales,RBICS_IG,201510151520,2015101515
Compressor and Pumping Equipment Manufacturing,RBICS_IG,"Other Air, Liquid and Gas Control Equipment Makers",RBICS_IG,401020101515,4010201015
Accounting and Bookkeeping Services,RBICS_IG,"Accounting, Tax Preparers and Bookkeeping Services",RBICS_IG,101015201010,1010152010
Mixed Building/Physical Security Equipment Makers,RBICS_IG,Building/Physical Electronic Security Equipment,RBICS_IG,551510151025,5515101510
Patient Data Management Software,RBICS_IG,Healthcare and Pharma Industry Software,RBICS_IG,351510151530,3515101515
General Facilities and Other Support Services,RBICS_IG,Facilities Support Services,RBICS_IG,101020101015,1010201010
Supply Chain ERP Software,RBICS_IG,Enterprise Resource Planning Software,RBICS_IG,552015153030,5520151530
Liquid and Water Purification/Filtration Products,RBICS_IG,Environmental Control Machinery/Equipment Products,RBICS_IG,401020101025,4010201010
Building Maintenance and Engineering Services,RBICS_IG,Facilities Support Services,RBICS_IG,101020101010,1010201010
Cafeteria and Buffet-Style Restaurants,RBICS_IG,Limited-Service and Fast Food Restaurants,RBICS_IG,151010251520,1510102515
Point of Care Testing Kits,RBICS_IG,Chemistry Clinical Diagnostic Devices,RBICS_IG,352010101025,3520101010
Software Development Software,RBICS_IG,Specialized Design and Engineering Software,RBICS_IG,552015102520,5520151025
Energy and Utilities IT Services,RBICS_IG,Other Oil and Gas Software and Services,RBICS_IG,251020204510,2510202045
Media and Entertainment Industry Software,RBICS_IG,Other Entertainment and Programming Providers,RBICS_IG,151510151030,1515101510
Powertrain and Chassis Thermal Management Products,RBICS_IG,Consumer Vehicle Powertrain and Chassis Makers,RBICS_IG,202010101525,2020101015
Auto Exterior Comfort/Safety/Electronics Products,RBICS_IG,Automobile Comfort/Safety/Electronics Parts Makers,RBICS_IG,202010101010,2020101010
Chassis and Body Manufacturing,RBICS_IG,Consumer Vehicle Powertrain and Chassis Makers,RBICS_IG,202010101510,2020101015
Computer Chassis/Casings,RBICS_IG,Multi-Process Assembly Services,RBICS_IG,551015101515,5510151015
Power Module and Subassembly Electronic Components,RBICS_IG,Power Module and Subassembly Components,RBICS_IG,551010151510,5510101515
Wires and Cables Manufacturing,RBICS_IG,Other Industrial Electrical Products,RBICS_IG,401015101530,4010151015
Staffing Services,RBICS_IG,Administrative Employment Services,RBICS_IG,101015101040,1010151010
Industrial Equipment Leasing Services,RBICS_IG,Leasing Services,RBICS_IG,303010101515,3030101015
Manufacturing and Scientific/Technical Services,RBICS_IG,Other Consulting and Business Process Outsourcing,RBICS_IG,101015152025,1010151520
Wholesale/Generic Pharmaceuticals Distributors,RBICS_IG,Wholesale Pharmaceuticals Distributors,RBICS_IG,351510202510,3515102025
Iron Ore Mining,RBICS_IG,Other Base Metal Ore Mining,RBICS_IG,451525101510,4515251015
Cannabis Farming,RBICS_IG,Other Farming,RBICS_IG,501510153030,5015101530
Greeting Cards and Giftware Manufacturing,RBICS_IG,Greeting Cards and Giftware Products,RBICS_IG,201015102010,2010151020
Canada Gold Ore Mining,RBICS_IG,Americas Gold Mining,RBICS_IG,451525201010,4515252010
Insulation Manufacturing,RBICS_IG,Other Architecture/Infrastructure Component Makers,RBICS_IG,451535101510,4515351015
Insurance Software,RBICS_IG,Finance Industry Software,RBICS_IG,303015101015,3030151010
Auto Insurance,RBICS_IG,Personal Insurance,RBICS_IG,301510201510,3015102015
Funds and Trusts,RBICS_IG,Funds Management and Advisors,RBICS_IG,302010102015,3020101020
Multinational Gold Ore Mining,RBICS_IG,Other Gold Mining,RBICS_IG,451525202015,4515252020
Polymer Additives Manufacturing,RBICS_IG,Other Chemical Additives Manufacturing,RBICS_IG,451020102025,4510201020
Copper-Derived Structural Shape Manufacturing,RBICS_IG,Non-Ferrous Metal Products Manufacturing,RBICS_IG,451510203510,4515102035
Active and Intermediate Chemicals OEMs,RBICS_IG,Biopharmaceutical OEM,RBICS_IG,351525101010,3515251010
Europe Mixed Alternative Wholesale Power,RBICS_IG,Europe Wholesale Power,RBICS_IG,651010501010,6510105010
Hydrogen Fuel Manufacturing,RBICS_IG,Petrochemicals and Alternative Fuels Manufacturing,RBICS_IG,451010101545,4510101015
Europe Natural Gas Utilities,RBICS_IG,International Natural Gas Utilities,RBICS_IG,651010151020,6510101510
General Clinical Diagnostics Devices,RBICS_IG,Other Clinical Diagnostic Devices,RBICS_IG,352010101510,3520101015
Diversified Medical Device OEMs,RBICS_IG,Medical Device OEM,RBICS_IG,351525101510,3515251015
Transfusion Medicine Devices,RBICS_IG,Other Specialized Medical Devices,RBICS_IG,352020151035,3520201510
Institutional Financial Advisors,RBICS_IG,Institutional and High-Net Advisory Services,RBICS_IG,302010102515,3020101025
Hedge Funds Managers,RBICS_IG,Alternative Investment Managers,RBICS_IG,302010101055,3020101010
Credit or Collateralized Alternative Fund Managers,RBICS_IG,Alternative Investment Managers,RBICS_IG,302010101010,3020101010
Equity Fund Managers,RBICS_IG,Traditional Investment Products,RBICS_IG,302010103010,3020101030
Vision Health Services,RBICS_IG,Specialized Ambulatory and Outpatient Patient Care,RBICS_IG,351515303015,3515153030
Commercial Specialty Engineering Contractors,RBICS_IG,Specialty Contractors,RBICS_IG,401525102010,4015251020
Alarm Systems Manufacturing,RBICS_IG,Building/Physical Electronic Security Equipment,RBICS_IG,551510151015,5515101510
Palm Farming,RBICS_IG,Oilseed and Grain Farming,RBICS_IG,501510153530,5015101535
Motor Homes and Campers (RVs) Manufacturing,RBICS_IG,Recreation Equipment Manufacturing,RBICS_IG,202010152510,2020101525
Online Gaming Systems,RBICS_IG,Gaming Industries,RBICS_IG,151010151540,1510101515
Online Casinos,RBICS_IG,Physical and Online Casinos,RBICS_IG,151010152515,1510101525
Display Advertising Services,RBICS_IG,Other Marketing and Advertising Services,RBICS_IG,101010101515,1010101015
General Entertainment Content Providers and Sites,RBICS_IG,Consumer Content Providers,RBICS_IG,552010351025,5520103510
Joint Replacement and Reconstruction Devices,RBICS_IG,Orthopedics Medical Devices,RBICS_IG,352015101510,3520151015
Network Security Software,RBICS_IG,Network Infrastructure Software,RBICS_IG,552015353020,5520153530
Middle East and Africa Solar Wholesale Power,RBICS_IG,Middle East and Africa Wholesale Power,RBICS_IG,651010501550,6510105015
Sports Teams and Sports Entertainment,RBICS_IG,Spectator Sports and Performing Arts,RBICS_IG,151010153025,1510101530
Burger Restaurants,RBICS_IG,Limited-Service and Fast Food Restaurants,RBICS_IG,151010251515,1510102515
Oil and Gas Royalty Trusts,RBICS_IG,Alternative Investment Managers,RBICS_IG,302010101025,3020101010
Trading Software,RBICS_IG,Finance Industry Software,RBICS_IG,303015101035,3030151010
Hydrogen Gas Manufacturing,RBICS_IG,Industrial Gas Manufacturing,RBICS_IG,451010151525,4510101515
Thermal and Chemical Processing Machinery Makers,RBICS_IG,Other Factory Automation Product Manufacturing,RBICS_IG,401020152525,4010201525
